epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35377,1.65331,3.42558,1.90911,0.3595,0.35524,0.26085,0.09488,1.75207,12.8595,2.25806,0.000549423,0.000549423,0.000549423
2,8.79586,1.74561,2.84283,1.92639,0.29297,0.35233,0.26258,0.10842,1.85563,28.7536,2.47273,0.00109415,0.00109415,0.00109415
3,12.2017,1.8159,2.64131,1.97627,0.22159,0.25443,0.14706,0.0433,2.16183,38.458,2.71356,0.00162787,0.00162787,0.00162787
4,15.5509,1.80777,2.4904,1.96701,0.11191,0.20821,0.03246,0.00943,2.31103,54.4306,3.02271,0.00161749,0.00161749,0.00161749
5,18.8628,1.82348,2.32184,1.95175,0.56313,0.25114,0.27964,0.08501,1.92362,4.57483,2.28484,0.00160099,0.00160099,0.00160099
6,22.1899,1.75825,2.27678,1.92232,0.66448,0.45911,0.5207,0.19829,1.69866,4.65127,2.04028,0.00158448,0.00158448,0.00158448
7,25.5428,1.70794,2.11606,1.86385,0.31604,0.4035,0.35108,0.13828,1.79118,3.60681,2.13531,0.00156798,0.00156798,0.00156798
8,28.8775,1.66655,2.10382,1.84065,0.60879,0.50127,0.5264,0.24447,1.59144,2.12839,1.9487,0.00155148,0.00155148,0.00155148
9,32.3853,1.64287,2.08603,1.81337,0.53856,0.37844,0.37034,0.17976,1.71849,2.82135,2.16428,0.00153497,0.00153497,0.00153497
10,35.9424,1.65089,2.06989,1.80142,0.54673,0.55954,0.52261,0.20624,1.70345,2.96246,2.01795,0.00151847,0.00151847,0.00151847
11,39.4004,1.60503,2.02013,1.79463,0.79739,0.27822,0.29235,0.08994,2.12043,19.0792,2.75729,0.00150197,0.00150197,0.00150197
12,42.865,1.57378,1.90374,1.75674,0.54982,0.50393,0.51464,0.25196,1.63393,2.19896,1.98217,0.00148546,0.00148546,0.00148546
13,46.2584,1.60783,1.92624,1.78263,0.60095,0.54927,0.56723,0.28218,1.57399,4.47674,1.89595,0.00146896,0.00146896,0.00146896
14,49.581,1.56762,1.86294,1.74609,0.64874,0.61917,0.64775,0.29207,1.67105,2.53456,1.95514,0.00145246,0.00145246,0.00145246
15,53.0066,1.53683,1.80088,1.72041,0.57904,0.35543,0.41507,0.18544,1.79083,2.98481,2.14479,0.00143595,0.00143595,0.00143595
16,56.3326,1.55593,1.82489,1.71204,0.67684,0.35752,0.3941,0.14467,1.9809,5.85283,2.4839,0.00141945,0.00141945,0.00141945
17,59.6541,1.52352,1.81718,1.71768,0.64208,0.63614,0.667,0.32116,1.5635,2.32479,1.83194,0.00140295,0.00140295,0.00140295
18,62.9856,1.50436,1.74897,1.69814,0.60011,0.58594,0.57393,0.26347,1.6831,2.65647,1.95947,0.00138644,0.00138644,0.00138644
19,66.3257,1.49854,1.74901,1.67548,0.69131,0.51655,0.58399,0.27413,1.70466,4.07869,2.0519,0.00136994,0.00136994,0.00136994
20,69.6429,1.53935,1.74678,1.72908,0.651,0.53293,0.62326,0.28366,1.6736,2.77348,1.9892,0.00135344,0.00135344,0.00135344
21,73.0611,1.46789,1.70004,1.67138,0.72653,0.59093,0.66341,0.3303,1.59929,3.4651,1.93702,0.00133693,0.00133693,0.00133693
22,76.5196,1.45788,1.67799,1.66651,0.64987,0.63931,0.64006,0.31424,1.58003,2.31285,1.88928,0.00132043,0.00132043,0.00132043
23,79.8528,1.42122,1.63396,1.64088,0.68176,0.59054,0.64748,0.3242,1.57836,2.49164,1.90609,0.00130393,0.00130393,0.00130393
24,83.2213,1.45035,1.64921,1.65497,0.71078,0.61421,0.67167,0.30977,1.67957,1.7244,1.94837,0.00128742,0.00128742,0.00128742
25,86.5493,1.45842,1.61693,1.65376,0.69506,0.38374,0.47562,0.22008,1.80263,4.43422,2.22811,0.00127092,0.00127092,0.00127092
26,89.9262,1.39864,1.53626,1.61772,0.76751,0.69187,0.73322,0.37211,1.537,2.197,1.83489,0.00125442,0.00125442,0.00125442
27,93.3348,1.41383,1.53493,1.61855,0.78243,0.58347,0.66289,0.31745,1.64724,2.04301,1.99972,0.00123791,0.00123791,0.00123791
28,96.6579,1.40245,1.52857,1.61259,0.62485,0.5233,0.58705,0.28722,1.67864,2.59205,2.01525,0.00122141,0.00122141,0.00122141
29,100.067,1.38629,1.5126,1.60041,0.69718,0.58687,0.64022,0.30899,1.60304,3.0324,1.95672,0.00120491,0.00120491,0.00120491
30,103.407,1.38024,1.49151,1.58643,0.77617,0.63463,0.6948,0.33292,1.55565,1.74559,1.87882,0.0011884,0.0011884,0.0011884
31,106.791,1.39536,1.47853,1.58842,0.73185,0.52624,0.62075,0.31445,1.57123,1.87821,1.92893,0.0011719,0.0011719,0.0011719
32,110.139,1.36746,1.46865,1.59256,0.71869,0.45694,0.54068,0.25757,1.71223,2.55337,2.10467,0.0011554,0.0011554,0.0011554
33,113.465,1.39771,1.49121,1.59799,0.73941,0.62809,0.68622,0.33406,1.55188,3.22106,1.93395,0.00113889,0.00113889,0.00113889
