epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.92098,1.67407,3.20752,1.92747,0.23995,0.15575,0.14646,0.05274,1.98663,20.0386,2.31635,0.000659176,0.000659176,0.000659176
2,7.32648,1.79629,2.70128,1.96025,0.08039,0.18222,0.03368,0.01087,1.95934,973.335,5.52563,0.00131272,0.00131272,0.00131272
3,10.6469,1.89231,2.43776,2.0163,0.39434,0.28444,0.21837,0.06633,2.45906,3.65953,3.15836,0.00195306,0.00195306,0.00195306
4,13.8445,1.871,2.296,1.99054,0.0733,0.20444,0.06644,0.01535,2.26691,58.6305,2.70457,0.0019406,0.0019406,0.0019406
5,17.1178,1.80549,2.15569,1.92379,0.46254,0.52889,0.44759,0.17153,1.85681,2.2893,2.16588,0.0019208,0.0019208,0.0019208
6,20.56,1.80073,2.12732,1.94976,0.49315,0.38667,0.32895,0.10215,2.00398,8.9257,2.39447,0.001901,0.001901,0.001901
7,23.8911,1.74662,2.04968,1.89598,0.59187,0.50222,0.53314,0.19237,1.86375,3.35228,2.24027,0.0018812,0.0018812,0.0018812
8,27.3044,1.69829,2.02391,1.85421,0.65313,0.50667,0.56202,0.25136,1.6597,2.98768,1.98443,0.0018614,0.0018614,0.0018614
9,30.5543,1.67294,1.96164,1.81759,0.55996,0.46377,0.46575,0.22969,1.6072,2.18816,1.98985,0.0018416,0.0018416,0.0018416
10,33.763,1.66417,1.96793,1.80624,0.62204,0.48277,0.48469,0.20162,1.80374,2.79775,2.07617,0.0018218,0.0018218,0.0018218
11,36.9937,1.62348,1.87822,1.7909,0.71791,0.51111,0.59719,0.2796,1.6222,2.45469,2.05314,0.001802,0.001802,0.001802
12,40.2006,1.61203,1.83671,1.77408,0.6907,0.57564,0.64529,0.29968,1.63693,2.21478,1.95832,0.0017822,0.0017822,0.0017822
13,43.4263,1.60381,1.85604,1.76796,0.56429,0.50667,0.50417,0.24821,1.66215,3.27702,1.95757,0.0017624,0.0017624,0.0017624
14,46.6341,1.59116,1.82619,1.74485,0.57272,0.59574,0.54973,0.20415,1.8577,2.37696,2.14235,0.0017426,0.0017426,0.0017426
15,49.8485,1.55457,1.7671,1.72375,0.55874,0.55556,0.5251,0.24397,1.70352,2.15205,2.01445,0.0017228,0.0017228,0.0017228
16,53.068,1.60336,1.79553,1.74545,0.55846,0.53404,0.54562,0.22834,1.71227,2.97105,2.04118,0.001703,0.001703,0.001703
17,56.2765,1.5637,1.74623,1.71817,0.6603,0.60444,0.6288,0.30241,1.62064,2.72848,1.92952,0.0016832,0.0016832,0.0016832
18,59.4826,1.53225,1.72924,1.70158,0.6474,0.48444,0.54689,0.26301,1.68405,2.15266,2.04344,0.0016634,0.0016634,0.0016634
19,62.7126,1.55911,1.75365,1.72382,0.72795,0.55556,0.62603,0.27485,1.75538,3.31564,2.04245,0.0016436,0.0016436,0.0016436
20,65.9187,1.55167,1.70911,1.72725,0.67504,0.57778,0.6168,0.29089,1.67758,1.92064,2.01079,0.0016238,0.0016238,0.0016238
21,69.1291,1.50757,1.63459,1.68682,0.74772,0.59111,0.65236,0.30775,1.66462,2.52167,2.00374,0.001604,0.001604,0.001604
22,72.3154,1.49669,1.64637,1.68177,0.6348,0.59556,0.59885,0.28647,1.63675,3.01163,1.98173,0.0015842,0.0015842,0.0015842
23,75.5145,1.4453,1.59995,1.64858,0.69047,0.56511,0.62999,0.31713,1.62986,2.79493,1.97695,0.0015644,0.0015644,0.0015644
24,78.7303,1.47087,1.58187,1.64629,0.71683,0.59556,0.65073,0.3218,1.63922,1.54672,1.95444,0.0015446,0.0015446,0.0015446
25,81.9554,1.49069,1.59491,1.67062,0.77479,0.68806,0.77319,0.35958,1.5888,1.86126,1.85002,0.0015248,0.0015248,0.0015248
26,85.1773,1.44939,1.5457,1.62655,0.75445,0.63111,0.70469,0.35203,1.56237,3.2567,1.88134,0.001505,0.001505,0.001505
27,88.3882,1.44283,1.52914,1.62902,0.79037,0.63556,0.72803,0.37513,1.53737,1.99582,1.82166,0.0014852,0.0014852,0.0014852
28,91.5925,1.45113,1.52239,1.62253,0.79394,0.66222,0.74683,0.35793,1.61142,2.11838,1.91543,0.0014654,0.0014654,0.0014654
29,94.8079,1.43305,1.52396,1.62676,0.79448,0.63556,0.71474,0.34587,1.65231,1.8459,1.9329,0.0014456,0.0014456,0.0014456
30,98.004,1.42976,1.50616,1.61293,0.78337,0.62222,0.69865,0.34772,1.58477,1.62903,1.94295,0.0014258,0.0014258,0.0014258
31,101.21,1.40792,1.49164,1.59727,0.77674,0.63556,0.68531,0.3484,1.56799,1.82217,1.87128,0.001406,0.001406,0.001406
32,104.391,1.37908,1.46136,1.59202,0.68322,0.56889,0.60614,0.2893,1.64968,2.70711,1.95482,0.0013862,0.0013862,0.0013862
33,107.606,1.40915,1.44791,1.59257,0.72526,0.63355,0.67979,0.32285,1.63858,2.51207,1.9942,0.0013664,0.0013664,0.0013664
34,110.829,1.37289,1.39491,1.57938,0.77257,0.60391,0.70513,0.36869,1.62032,2.01605,1.91021,0.0013466,0.0013466,0.0013466
